id,latitude,longitude
3c8ddaf4-f088-46b8-bc52-09851d1527d3,41.161334,-8.722727
7bfa3d14-9fbb-4122-8f5e-cbe22bfcb55a,41.210554,-8.71096
5c1b51ee-9c9b-4867-b867-9664a7d8548e,41.200891,-8.65979
7ac02040-5481-4f9c-a32e-04ed90977ee7,41.143867,-8.626781
9344fb94-8be8-4d4e-9d4c-6ba145fa1096,41.164076,-8.555495
604d5535-83a2-4051-a0ea-1e55db443f75,41.22194,-8.610746
317a13e8-ba05-4e6f-bde4-e54e29840c8b,41.185439,-8.637976
71bc0e7f-9b4a-420b-8447-bf1a31e22612,41.197604,-8.675367
de437421-6828-44bd-bd44-2b279e90c963,41.150867,-8.653792
0edfffab-0714-4f0e-8137-013f47a0017a,41.212619,-8.689956
ff866bf4-1680-46a8-a7d8-3e53658b5d9e,41.196675,-8.64354
396fb01c-f5e6-4db2-bd34-2ad786d548c0,41.211873,-8.683295
5f4fb2ce-935e-4328-bc30-65756b19d620,41.161073,-8.702207
f4eb9462-00d4-4ef3-aaa4-055a5a3813b2,41.196752,-8.637518
0b17642b-3861-4b94-a4f1-641b1458e9b5,41.219141,-8.565486
029deab5-47eb-46d3-8e71-6c9a4c4784ec,41.135382,-8.736299
7436fc6b-562b-4538-b469-ae5849ea3568,41.140817,-8.552789
684975df-86ca-4ab1-ad2b-869e93326bb4,41.133052,-8.728994
9a9e11ba-c730-41f3-b728-b1938a18dd84,41.16943,-8.725036
8ccb4052-9bcb-4392-b263-312fee3e8ee7,41.158039,-8.72685
e809ed43-a205-47f2-a29e-1e6f9f081bf9,41.164579,-8.716106
a49c86d4-11ce-490e-a4f8-4ee11a7288de,41.15654,-8.635537
9e168baa-2360-4194-9405-ce40fb44d11c,41.163874,-8.624747
7cec38ee-98fe-4d0d-9fd7-ab86c56b96dd,41.220048,-8.5965
084184d4-e27b-4f3b-bfd1-ca5a00354756,41.118161,-8.680774
1a3bfdd8-a74d-4dc3-8a9d-74835a8edaf6,41.180983,-8.656761
20a9ef18-f5da-4de3-b89c-1c921c05ae84,41.153208,-8.692898
e2082343-7ed9-4e56-ba47-903a3d8d3471,41.137332,-8.628221
adb1df6f-3670-408a-9e71-2f77b27e5ed6,41.172382,-8.738634
bf3cae21-d2d1-4834-92e4-dd7814d23a2c,41.178354,-8.696501
553639aa-ce39-405c-9316-eceba2fcb856,41.094398,-8.677219
be15c278-902f-41c8-8af1-79357bdc7b37,41.123321,-8.612894
d6ad4b47-ea7f-4a9b-9f8c-aeedf6ef0135,41.165493,-8.602563
bacc148c-5515-47e4-90fe-49a9cdb47905,41.169946,-8.650193
4b429c9e-22d8-46a7-80e0-92b27ffb00ab,41.156216,-8.662659
0075e322-a830-4f7c-ae39-8cf7a9e9286b,41.10357,-8.6581
1e115a64-012b-4697-bc89-8603e4793e9b,41.147554,-8.575871
28040f47-b2dd-4a0f-8da0-5ac0a0cc2573,41.184271,-8.553009
46a6d6fe-5f4c-4fd9-8bf1-e911602b7da3,41.098486,-8.601639
22d36da4-0466-4305-af2f-2f473b1d2f91,41.210634,-8.692755
69b5c5a5-d986-4817-888f-a55f4923d527,41.16508,-8.713365
7d7e6385-c120-4b1d-8535-6f62fd0c8000,41.128996,-8.692537
d4b42e0f-d5db-4c4c-8e61-d545ba311b1b,41.100554,-8.586476
8420acde-bd26-4bd6-9d01-101766b07bd1,41.167046,-8.730388
c5c5c100-8622-4a35-a2b6-8df91e3ec27d,41.207044,-8.555891
599b106c-77ab-4988-bc84-2f787cc39e17,41.195499,-8.695088
17d70a9b-facf-419f-9dfc-33dfa3c857e8,41.15799,-8.699388
83fd394c-5e15-494f-af1c-274f08a4052e,41.216342,-8.708719
2c892c56-0f87-4c5a-bc37-4f214d29f7c0,41.227943,-8.689611
089461bd-3e86-45e3-8b73-1bac9e5fae9a,41.199918,-8.685803
9fd6f400-a2c1-4ec8-ba2d-4d42a7ee50c5,41.224024,-8.55087
ab85b675-6a7c-4860-916b-4484423d6c0a,41.182662,-8.647532
c0668909-a9e1-495b-af79-a3ee3f2407d8,41.131539,-8.555945
d3caea51-23ae-4c18-8255-c2e5409dd4c7,41.169502,-8.633249
ff290539-e325-4fbc-a664-36cfc6d0b83e,41.133905,-8.730473
f98b6805-9b52-41bc-84e2-a44cc695b779,41.160399,-8.577983
699078fa-f84d-4730-81d7-ed3066c27492,41.097963,-8.643513
a8e0408e-b331-4745-b2d0-d9663a8051d3,41.116015,-8.626943
33e3fa98-f84e-4c67-aeae-80e4e74350b5,41.210655,-8.663283
4584951a-dec9-4a59-a6d7-c8f4be4ea43d,41.21464,-8.693219
a18a0c18-cb96-4e61-a08a-b3694fe4b77c,41.095564,-8.724423
7e9c0bd3-c552-4790-b4df-e37f3621f7e7,41.171714,-8.640671
b5a68f90-5777-4423-bc6c-a55fe540a879,41.126507,-8.612752
1f0c2a22-e969-4fa2-957b-26318d422c5b,41.123416,-8.664801
e5703859-3fc9-4689-8e5a-5d59eb3f4cff,41.18037,-8.653127
f4827f75-2741-4996-82f7-6289294e44b4,41.195261,-8.726217
9023ed54-aa9b-48c2-a456-96facbed8ded,41.176962,-8.633031
558dea9c-fb0a-48af-a872-43bfb025102a,41.100257,-8.699501
8f81f55f-5d15-457f-acaa-fa1dfd8a522a,41.108544,-8.673688
418264d6-aaf5-4ff3-a393-46280adc3720,41.213098,-8.66979
56cb4813-b666-49cf-a955-a8ce60e49b04,41.151346,-8.636789
0aecc627-a12f-47a5-a5b9-3ed9294a8c54,41.175635,-8.552426
926ad419-4a83-47ae-8846-a255ee016208,41.164052,-8.613106
c3fe51c7-542e-4a31-b9da-9fd43dd009b0,41.131913,-8.613956
dd28ba7b-5709-495f-9dd0-690df80fed2d,41.212938,-8.689751
2eed51b3-aa21-49be-aa57-6db88e75be57,41.104985,-8.634888
c4523223-8537-444e-8b5a-f92623958480,41.129446,-8.69998
